ConfigurationName,Focal,Sex,Sex_2,Species,Species_2,OriginCode,Origin,LifeExperienceCode,LifeExperience,PhysicalHarmCode,PhysicalHarm,TypeRearingCode,TypeRearing,InfancySocialExposureCode,InfancySocialExposure,JuvenileSocialExposureCode,JuvenileSocialExposure,NutritionDepCode,NutritionDep,MotherSeparationCode,MotherSeparation,RelocationsCode,Relocations,EstimatedAgeArrivalCode,EstimatedAgeArrivalGroup,EstimatedCurrentAgeCode,EstimatedCurrentAgeGroup,EstimatedAgeArrival,EstimatedCurrentAge,YearsCenter,YearsZoo,YearsRescue,Years exposed to adversity,% of lifetime exposed to adversity (years),Self-directed,Postural,Self-abuse,Kinetic,Oral,Others,Genital self-inspection,Other self-directed behaviours,Scratching/ Rubbing,Self-groom,Yawning,Grooming,Other affiliative,Other agonistic,Social play,Rank,SociallyConfident(R),Lonely,BizarreBehaviours,NoPhysicalCoordinated,CommunicationSkills(R),(Not)EyeContact,Playful(R),SocialAvoidance,SociallyAwkward,RestrictedInterests,Stereotypes,SociallyTense,StaresIntoSpace,Species-typicalReaction(R)
BP1,KingLouis,a1,male,c4,Macaca_leonina,d2,Wild,f4,2,o4,NA,e2,2,g4,NA,h4,NA,n2,2,i1,2,m3,3,j4,NA,b6,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0,0.75,2.08,0,0,0.83,5.67,9.17,1.17,7.58,0.42,6.83,0.08,1.17,1,1,1.67,1.33,1.33,1,1,2,1,1.33,2,2,1,1.67,1.67
P8,Kruger,a1,male,c1,Macaca_arctoides,d2,Wild,f2,3,o2,2,e2,2,g4,NA,h2,2,n2,2,i1,2,m3,3,j3,3y-8y (adolescence),b3,3y-8y (adolescence),5,6.24,1.24,0,1.24,5,0.8,0,0,0,0,0,0,0.75,1.83,16.42,4.33,0.25,8.92,3.33,0.17,0.83,1,1.67,1.33,2,1,1.33,1.33,2.67,1.33,1.67,2,1.67,1.33,2,1.33
BP3,Laurel,a1,male,c2,Macaca_assamensis,d2,Wild,f2,3,o2,2,e2,2,g3,3,h3,3,n3,NA,i1,2,m3,3,j3,3y-8y (adolescence),b4,8y-15y (adulthood),3.4,11.08,7.68,2.68,5,6.08,0.55,0.33,0,0,0.17,5.08,0.75,0.33,7.5,17.67,7.75,1,1.67,6.17,0.25,0.67,0.374,2,2.33,1.33,1.33,1.33,1.67,2.33,1.33,1.33,1.67,2,1.67,2,1
P7,Louise,a2,female,c4,Macaca_leonina,d2,Wild,f2,3,o2,2,e2,2,g4,NA,h2,2,n3,NA,i1,2,m3,3,j3,3y-8y (adolescence),b4,8y-15y (adulthood),7.55,13.92,6.37,1.37,5,8.92,0.64,3.67,0.33,0.08,1.42,0,0.25,0,2.58,7.5,1.67,0.08,1.58,2.42,0.08,0,0.308,3,2.67,1.67,2,1,1.67,3,2.33,1.67,1.67,2.33,2.67,1.67,1.67
P4,Lucky,a2,female,c4,Macaca_leonina,d2,Wild,f1,3,o3,3,e2,2,g3,3,h3,3,n2,2,i1,2,m3,3,j4,NA,b6,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0,0,2.11,0,0,0,1.22,6.33,3.08,0,4.06,1.14,0,0,0,2,2.67,1.67,1,1.33,1,2.67,1.67,1.67,1.33,1.67,1.67,1,1.33
P1,LuckyS,a1,male,c1,Macaca_arctoides,d2,Wild,f4,2,o4,NA,e2,2,g4,NA,h2,2,n2,2,i1,2,m2,2,j2,14m-36m (juvenility),b5,>15y (elderly),1.39,18.68,17.29,12.29,5,13.68,0.73,0,0,0.17,0,0.17,0,1.33,6.25,6.67,5.92,0.25,3.5,7.25,0.67,0,0.828,3.33,2.33,1.67,2.33,1.67,2,3.33,2.33,2,1.67,2,3.33,2,2.33
P7,Mentos,a2,female,c4,Macaca_leonina,d2,Wild,f2,3,o2,2,e2,2,g4,NA,h2,2,n2,2,i1,2,m3,3,j3,3y-8y (adolescence),b4,8y-15y (adulthood),5,9.91,4.91,0,4.91,5,0.5,0.17,0.33,0.25,6.58,0,0.33,0,2.5,8.75,4.92,0.58,3.42,3.92,0.58,0,0.715,1,1.33,1,1,1,1,2.67,1,1.33,1.67,2,1,1.67,1.33
P9,Mimi,a2,female,c1,Macaca_arctoides,d1,Captive conceived,f3,1,o1,1,e1,1,g1,1,h1,1,n2,2,i2,1,m1,1,j1,0m-14m (infancy),b3,3y-8y (adolescence),born at the center,7.07,7.07,2.07,5,2.07,0.29,0.26,2.06,1.8,2.57,0,0.51,0.34,4.03,9.17,6.51,0.34,5.31,3.51,0.69,0,0,2.33,2.33,2,1.33,1,1.33,2.67,1.33,2,2,3,1.33,2.67,2
P1,Miranda,a2,female,c1,Macaca_arctoides,d2,Wild,f4,2,o4,NA,e2,2,g4,NA,h4,NA,n2,2,i1,2,m2,2,j3,3y-8y (adolescence),b5,>15y (elderly),4,21.28,17.28,12.28,5,16.28,0.77,0,0,0,0,0,0.08,0.08,3.92,9,4.42,0,5.17,8.75,0.42,0,0.687,1,1.33,1,2.33,1,1,2.33,1,1,1,1,1,1,1
P5,Molly,a2,female,c2,Macaca_assamensis,d2,Wild,f2,3,o2,2,e2,2,g2,2,h1,1,n3,NA,i1,2,m3,3,j1,0m-14m (infancy),b4,8y-15y (adulthood),0.29,9.39,9.1,4.1,5,4.39,0.47,0.1,0.4,3.4,0.9,0,0.7,0,1.6,5.7,1.9,0.1,2.4,6.8,2.3,0,0.628,2.33,1,2,1.33,2,1.67,2.33,1.33,2,1.67,2,2,1.67,2.33
